Date,Name,Symbol,Price(USD),Price(ETH),Supply APY,Borrow APY,Total Supply,Total Borrow,Market Liquidity,# of Suppliers,# of Borrowers,ETH Borrow Cap,Reserves,Reserve Factor,Collateral Factor,cToken Minted,Exchange Rate
01/01/2021,Sai (Legacy Dai),SAI,14.716668448890172,0.005285552109272703,0.000000000000000000000000000,0.062498138194338746232939348,2718438.675734278,81731.12342395952,205796.918548636300693519,5942,291,0,26632.21415460885037990800000,1.00000000000000000,0,8611676.46495491,46.62057984060263
01/01/2021,0x,ZRX,1.0277766216972433,0.000369130208344315,0.008501572998492691975582014,0.077026812667030434299077036,128460017.84801431,19538817.2524244,107552062.651250617719932643,3639,234,0,1574559.080756575892249213850,0.25000000000000000,0.65000000000000000,6102286635.20803417,48.8228761573327
01/01/2021,Augur,REP,34.684895427220766,0.012457223101949762,0.000000000000000000000000000,0.158219066776111478460782256,133525.4324729591,53306.89331621555,2700.839026538060637636,1376,153,0,388.0588330654890339438000000,1.00000000000000000,0,192093.02703098,49.898558135860256
01/01/2021,Wrapped BTC,WBTC,44681.26076274135,16.047458899387049000,0.000000000000000000000000000,0.023162837328321512606365396,162062018.84067282,41221.80163743309,3633.21600087,2267,325,0,7.0695073910000000000000000,1.00000000000000000,0.65000000000000000,179518.00988535,49.49395958822682
01/01/2021,USDT,USDT,1.1741670760738234,0.000421706943193966,0.019862493106742600863820862,0.035434967843874796720461729,724365066.0002259,442297017.71074915,241448006.878329,5541,1561,0,1219802.530566950000000000000,0.07500000000000000,0,29082399839.89923551,47.14141803356051
01/01/2021,Basic Attention Token,BAT,0.7725537952064577,0.000277465878636959,0.007885313956745743858176853,0.074192665689390050569494867,97482103.61346245,14262998.566499244,111090991.507340934661778101,6069,526,0,3371496.032305853407441245900,0.25000000000000000,0.65000000000000000,6127211960.97912890,48.55866542702624
01/01/2021,Compound Governance Token,COMP,359.8587254751056,0.129244743950086766,0.009651661018955345286050008,0.072352214056912037657737591,178540170.38930756,32730952.488921665,406243.123935032897062870,4261,93,90750.00000000000000000,1058.512368701037846607800000,0.25000000000000000,0.60000000000000000,24446571.12047602,49.27357191644015
01/01/2021,TrueUSD,TUSD,1.1741670760738234,0.000421706943193966,0.001189228465734236390324155,0.008596953640607717115276107,70452881.67188859,10574878.746044718,50996309.030587380098402045,3,126,0,156.8253460638002637397500000,0.07500000000000000,0,2999986486.21780400,49.997747106898686
01/01/2021,Uniswap,UNI,26.012614820047105,0.009342537790213447,0.001717493223731231611499143,0.044676548518116636238698540,372349673.5986915,19490947.799029656,13600190.070004092985950422,2367,134,11250000.00000000000000000,35282.11128074488930395585000,0.25000000000000000,0.60000000000000000,708417421.02213957,49.49054829767632
01/01/2021,DAI,DAI,1.1750981905651505,0.000422041356799919,0.025155196499355728660286447,0.041671242562854246126725862,4371677666.096346,3129683953.9119525,1070288175.932636764139631820,18784,2829,0,13360574.34466249634580186075,0.15000000000000000,0.75000000000000000,173223302916.32846862,46.5620764768
01/01/2021,Ether,ETH,2784.32,1.000000000000000000,0.002331218059035049252630389,0.033446081004857183858286782,3402511890.0021625,301014148.4755122,1114278.546714558245182739,64787,917,0,362.8540044350530733237000000,0.20000000000000000,0.75000000000000000,60965608.07811260,49.888954799197656
01/01/2021,USD Coin,USDC,1.1741670760738234,0.000421706943193966,0.020551758862067509065755063,0.036049183888321834108192257,3919017209.7018547,2433704835.0061903,1271297811.842170,218340,2645,0,6305456.868082600000000000000,0.07500000000000000,0.75000000000000000,151360410457.33822660,45.348719097242004
01/01/2021,ChainLink Token,LINK,27.428490059566105,0.009851055216198607,0.004834007712173179883228829,0.055057749570938206224738770,89070862.9059356,10685055.272974879,2858263.950642578981772608,360,67,0,439.5693977032168294357500000,0.25000000000000000,0,162156478.62100988,49.93448156719521
01/01/2021,Wrapped BTC,WBTC,44681.26076274135,16.047458899387049000,0.003446921488127575478681563,0.047630928172248080625376067,1430199266.4654844,132196267.52470304,29057.79825731,952,136,0,7.5213227980000000000000000,0.20000000000000000,0.65000000000000000,1598928.06426843,49.952564971600005
02/01/2021,Sai (Legacy Dai),SAI,14.716668454791973,0.005285552111392359,0.000000000000000000000000000,0.062498138194338746232939348,2718438.676824449,81731.12345673602,205796.918548636300693519,5941,291,0,26632.21415460885037990800000,1.00000000000000000,0,8611676.46495491,46.62057984060263
02/01/2021,Augur,REP,37.11069877408846,0.013328460368811222,0.000000000000000000000000000,0.158229669148922244365171455,142863.97701793298,57041.69191411954,2700.839026538060637636,1376,153,0,388.2367867835104735178000000,1.00000000000000000,0,192093.02703098,49.898558135860256
02/01/2021,Wrapped BTC,WBTC,45853.49699130537,16.468472370742360000,0.000000000000000000000000000,0.023162837323414629170304632,166307227.29528275,42301.60624634403,3633.07270653,2267,324,0,7.0695312310000000000000000,1.00000000000000000,0.65000000000000000,179510.92324413,49.493961944747745
02/01/2021,ChainLink Token,LINK,27.837345705609774,0.009997897406048793,0.006553470233386236006946907,0.061874654434884881012415995,90151306.74413955,13077361.42399314,2769171.801213507630096169,362,71,0,447.1485389354306443357500000,0.25000000000000000,0,161711797.26967526,49.93413149348575
02/01/2021,USDT,USDT,1.256286349833734,0.000451200418713989,0.019119618592583470496235121,0.034760988016631558988947057,779584544.8719159,467112639.7975288,249948059.530404,5548,1561,0,1221401.698181300000000000000,0.07500000000000000,0,29252524503.41182940,47.13991250025486
